Field,null_values,type,all,transformation,cleaned,transformed,listings features model,listings + reviews scores model,reviews nlp model,combined model,notes
id,0,int64,discard,N/A,,,discard,discard,discard,discard,
listing_url,0,object,discard,N/A,,,discard,discard,discard,discard,
scrape_id,0,int64,discard,N/A,,,discard,discard,discard,discard,
last_scraped,0,object,discard,N/A,,,discard,discard,discard,discard,
name,23,object,fill,NLP,yes,,yes,yes,no,yes,"fill with ""blank"" value"
description,3126,object,fill,NLP,yes,,yes,yes,no,yes,"fill with ""blank"" value"
neighborhood_overview,29439,object,fill,NLP,yes,,yes,yes,no,yes,"fill with ""blank"" value"
picture_url,0,object,discard,N/A,,,discard,discard,discard,discard,
host_id,0,int64,discard,clean,,,yes,yes,no,yes,
host_url,0,object,discard,N/A,,,discard,discard,discard,discard,
host_name,1981,object,discard,N/A,,,discard,discard,discard,discard,
host_since,1981,object,drop rows,datetime,partially,,yes,yes,no,yes,
host_location,2161,object,discard,clean,,,yes,yes,no,yes,
host_about,34283,object,fill,NLP,partially,,yes,yes,no,yes,
host_response_time,41905,object,discard,N/A,,,discard,discard,discard,discard,
host_response_rate,41905,object,discard,N/A,,,discard,discard,discard,discard,
host_acceptance_rate,39343,object,discard,N/A,,,discard,discard,discard,discard,
host_is_superhost,1981,object,drop rows,OHE,partially,,yes,yes,no,yes,
host_thumbnail_url,1981,object,discard,N/A,,,discard,discard,discard,discard,
host_picture_url,1981,object,discard,N/A,,,discard,discard,discard,discard,
host_neighbourhood,19561,object,discard,clean,,,yes,yes,no,yes,
host_listings_count,1981,float64,drop rows,,partially,,yes,yes,no,yes,
host_total_listings_count,1981,float64,discard,N/A,,,discard,discard,discard,discard,
host_verifications,0,object,keep,OHE,yes,,yes,yes,no,yes,
host_has_profile_pic,1981,object,drop rows,OHE,partially,,yes,yes,no,yes,
host_identity_verified,1981,object,drop rows,OHE,partially,,yes,yes,no,yes,
neighbourhood,29438,object,discard,N/A,,,discard,discard,discard,discard,
neighbourhood_cleansed,0,object,keep,OHE,yes,,yes,yes,no,yes,
neighbourhood_group_cleansed,74840,float64,discard,N/A,,,discard,discard,discard,discard,
latitude,0,float64,keep,,yes,,yes - to begin with,yes - to begin with,no,yes,"how do we use lat/long in modelling? Options: geohashing, clustering, converting to radians, reverse geocoding, just use neighborhoods"
longitude,0,float64,keep,,yes,,yes - to begin with,yes - to begin with,no,yes,
property_type,0,object,keep,OHE,yes,,yes,yes,no,yes,
room_type,0,object,keep,OHE,yes,,yes,yes,no,yes,
accommodates,0,int64,keep,clean,yes,,yes,yes,no,yes,
bathrooms,74840,float64,discard,N/A,,,discard,discard,discard,discard,
bathrooms_text,173,object,fill,OHE/adapt variable,yes,,yes,yes,no,yes,removing 168 null values and converting to a continuous variable
bedrooms,4677,float64,fill,clean/OHE,yes,,yes,yes,no,yes,
beds,1192,float64,fill,clean/OHE,yes,,yes,yes,no,yes,
amenities,0,object,keep,OHE,yes,,yes,yes,no,yes,
price,0,object,keep,clean/convert,yes,,target,target,target,target,
minimum_nights,0,int64,discard,,,,yes,yes,no,yes,
maximum_nights,0,int64,discard,,,,yes,yes,no,yes,
minimum_minimum_nights,3,float64,discard,N/A,,,discard,discard,discard,discard,
maximum_minimum_nights,3,float64,discard,N/A,,,discard,discard,discard,discard,
minimum_maximum_nights,3,float64,discard,N/A,,,discard,discard,discard,discard,
maximum_maximum_nights,3,float64,discard,N/A,,,discard,discard,discard,discard,
minimum_nights_avg_ntm,3,float64,discard,N/A,,,discard,discard,discard,discard,
maximum_nights_avg_ntm,3,float64,discard,N/A,,,discard,discard,discard,discard,
calendar_updated,74840,float64,discard,N/A,,,discard,discard,discard,discard,
has_availability,0,object,keep,OHE,yes,,yes,yes,no,yes,
availability_30,0,int64,discard,,yes,,yes,yes,no,yes,
availability_60,0,int64,keep - to begin with,,yes,,yes,yes,no,yes,
availability_90,0,int64,keep - to begin with,,yes,,yes,yes,no,yes,
availability_365,0,int64,keep,,yes,,yes,yes,no,yes,
calendar_last_scraped,0,object,discard,N/A,,,discard,discard,discard,discard,
number_of_reviews,0,int64,keep,,yes,,yes,yes,no,yes,
number_of_reviews_ltm,0,int64,keep - to begin with,,yes,,yes,yes,no,yes,
number_of_reviews_l30d,0,int64,keep - to begin with,,yes,,yes,yes,no,yes,
first_review,22221,object,keep,datetime,yes,,no,yes,no,yes,
last_review,22221,object,keep,datetime,yes,,no,yes,no,yes,
review_scores_rating,23901,float64,keep,,yes,,no,yes,no,yes,
review_scores_accuracy,23958,float64,keep,,yes,,no,yes,no,yes,
review_scores_cleanliness,23950,float64,keep,,yes,,no,yes,no,yes,
review_scores_checkin,24005,float64,keep,,yes,,no,yes,no,yes,
review_scores_communication,23957,float64,keep,,yes,,no,yes,no,yes,
review_scores_location,24001,float64,keep,,yes,,no,yes,no,yes,
review_scores_value,24002,float64,keep,,yes,,no,yes,no,yes,
license,74840,float64,discard,N/A,,,discard,discard,discard,discard,
instant_bookable,0,object,keep,OHE,yes,,yes,yes,no,yes,
calculated_host_listings_count,0,int64,keep,,yes,,yes,yes,no,yes,
calculated_host_listings_count_entire_homes,0,int64,keep - to begin with,,yes,,yes,yes,no,yes,
calculated_host_listings_count_private_rooms,0,int64,keep - to begin with,,yes,,yes,yes,no,yes,
calculated_host_listings_count_shared_rooms,0,int64,keep - to begin with,,yes,,yes,yes,no,yes,
reviews_per_month,22221,float64,keep,,yes,,no,yes,no,yes,
,,,,,,,,,,,
Potential features to create:,,,,,,,,,,,
beds to people ratio,,,,,,,,,,,
postcode,,,,,,,,,,,
,,,,,,,,,,,
Other datasets:,,,,,,,,,,,
reviews - comments,?,?,keep,NLP,,,no,no,yes,yes,